"Index","open","high","low","close","volume"
2014-09-16,0,NA,NA,2.76,0
2014-09-17,2.75,2.75,2.75,2.75,100
2014-09-18,2.75,2.75,2.75,2.75,300
2014-09-19,0,NA,NA,2.75,0
2014-09-22,0,NA,NA,2.75,0
2014-09-23,0,NA,NA,2.75,0
2014-09-24,0,NA,NA,2.75,0
2014-09-25,0,NA,NA,2.75,0
2014-09-26,0,NA,NA,2.75,0
2014-09-29,0,NA,NA,2.75,0
2014-09-30,0,NA,NA,2.75,0
2014-10-01,2.75,2.75,2.75,2.75,100
2014-10-02,0,NA,NA,2.75,0
2014-10-03,0,NA,NA,2.75,0
2014-10-06,0,NA,NA,2.75,0
2014-10-07,0,NA,NA,2.75,0
2014-10-08,2.74,2.74,2.74,2.74,100
2014-10-09,2.74,2.76,2.74,2.75,1400
2014-10-10,3,3,3,3,500
2014-10-13,0,NA,NA,3,0
2014-10-14,0,NA,NA,3,0
2014-10-15,0,NA,NA,3,0
2014-10-16,0,NA,NA,3,0
2014-10-17,0,NA,NA,3,0
2014-10-20,0,NA,NA,3,0
2014-10-21,3,3,3,3,100
2014-10-22,0,NA,NA,3,0
2014-10-23,0,NA,NA,3,0
2014-10-24,0,NA,NA,3,0
2014-10-27,0,NA,NA,3,0
2014-10-28,0,NA,NA,3,0
2014-10-29,0,NA,NA,3,0
2014-10-30,0,NA,NA,3,0
2014-10-31,0,NA,NA,3,0
2014-11-03,0,NA,NA,3,0
2014-11-04,0,NA,NA,3,0
2014-11-05,2.8,2.8,2.8,2.8,100
2014-11-06,0,NA,NA,2.8,0
2014-11-07,2.75,2.75,2.75,2.75,300
2014-11-10,0,NA,NA,2.75,0
2014-11-11,0,NA,NA,2.75,0
2014-11-12,0,NA,NA,2.75,0
2014-11-13,0,NA,NA,2.75,0
2014-11-14,0,NA,NA,2.75,0
2014-11-17,0,NA,NA,2.75,0
2014-11-18,2.6,2.6,2.6,2.6,100
2014-11-19,2.6,2.6,2.6,2.6,100
2014-11-21,0,NA,NA,2.6,0
2014-11-24,0,NA,NA,2.6,0
2014-11-25,0,NA,NA,2.6,0
2014-11-26,0,NA,NA,2.6,0
2014-11-27,0,NA,NA,2.6,0
2014-11-28,0,NA,NA,2.6,0
2014-12-01,0,NA,NA,2.6,0
2014-12-02,0,NA,NA,2.6,0
2014-12-03,0,NA,NA,2.6,0
2014-12-04,0,NA,NA,2.6,0
2014-12-05,0,NA,NA,2.6,0
2014-12-08,0,NA,NA,2.6,0
2014-12-09,0,NA,NA,2.6,0
2014-12-10,2.5,2.5,2.5,2.5,300
2014-12-11,0,NA,NA,2.5,0
2014-12-12,0,NA,NA,2.5,0
2014-12-15,0,NA,NA,2.5,0
